,num_prefill_tokens,num_decode_tokens,num_total_tokens,pd_ratio
821,1415,283,1698,5.0
822,2032,550,2582,3.6945454545454544
823,2040,489,2529,4.171779141104294
824,1693,297,1990,5.700336700336701
825,2048,429,2477,4.773892773892774
826,1285,362,1647,3.5497237569060776
827,2025,228,2253,8.881578947368421
828,1196,304,1500,3.934210526315789
829,855,219,1074,3.904109589041096
830,1955,286,2241,6.835664335664336
831,1686,236,1922,7.1440677966101696
832,1968,412,2380,4.776699029126213
833,1456,225,1681,6.471111111111111
834,1572,309,1881,5.087378640776699
835,1245,223,1468,5.582959641255606
836,909,202,1111,4.5
837,1989,376,2365,5.289893617021277
838,1900,760,2660,2.5
840,1209,328,1537,3.6859756097560976
841,1280,266,1546,4.81203007518797
842,1916,307,2223,6.241042345276873
843,2009,341,2350,5.891495601173021
844,455,158,613,2.8797468354430378
845,151,184,335,0.8206521739130435
846,1407,333,1740,4.225225225225225
847,1956,333,2289,5.873873873873874
848,1712,307,2019,5.576547231270358
849,1949,368,2317,5.296195652173913
850,1986,316,2302,6.284810126582278
851,1926,278,2204,6.928057553956834
852,1921,164,2085,11.71341463414634
853,1265,211,1476,5.995260663507109
854,1046,344,1390,3.0406976744186047
855,2037,458,2495,4.4475982532751095
856,2016,222,2238,9.08108108108108
858,1965,313,2278,6.277955271565495
860,1975,194,2169,10.18041237113402
861,1748,352,2100,4.965909090909091
862,1948,409,2357,4.762836185819071
863,1994,315,2309,6.33015873015873
864,542,157,699,3.452229299363057
865,1953,396,2349,4.931818181818182
866,1566,303,1869,5.1683168316831685
867,240,274,514,0.8759124087591241
868,1948,281,2229,6.932384341637011
869,760,354,1114,2.146892655367232
870,1964,183,2147,10.73224043715847
871,1977,352,2329,5.6164772727272725
873,2032,324,2356,6.271604938271605
874,1998,400,2398,4.995
875,1965,193,2158,10.181347150259068
876,1148,314,1462,3.656050955414013
877,1988,354,2342,5.6158192090395485
878,1961,364,2325,5.387362637362638
879,1911,339,2250,5.6371681415929205
880,1978,174,2152,11.367816091954024
881,2041,277,2318,7.368231046931408
882,1918,319,2237,6.012539184952978
883,1057,163,1220,6.484662576687117
884,2017,254,2271,7.940944881889764
885,2026,341,2367,5.941348973607038
886,2012,406,2418,4.955665024630542
887,1912,397,2309,4.816120906801007
888,2005,329,2334,6.094224924012158
889,2026,255,2281,7.9450980392156865
890,889,253,1142,3.513833992094862
891,2012,349,2361,5.765042979942693
893,1921,238,2159,8.071428571428571
894,1920,298,2218,6.442953020134228
895,1961,333,2294,5.888888888888889
896,1925,237,2162,8.122362869198312
897,133,247,380,0.5384615384615384
898,1959,338,2297,5.795857988165681
899,1954,240,2194,8.141666666666667
900,2012,265,2277,7.592452830188679
901,1604,242,1846,6.628099173553719
902,2009,460,2469,4.3673913043478265
903,2043,342,2385,5.973684210526316
904,2000,364,2364,5.494505494505495
905,1314,374,1688,3.513368983957219
906,1946,278,2224,7.0
908,1909,274,2183,6.967153284671533
909,1956,458,2414,4.270742358078603
910,1932,303,2235,6.376237623762377
911,1971,205,2176,9.614634146341464
912,1990,276,2266,7.210144927536231
913,1981,327,2308,6.058103975535168
914,972,234,1206,4.153846153846154
915,1927,320,2247,6.021875
916,1498,236,1734,6.3474576271186445
917,1260,154,1414,8.181818181818182
918,1287,207,1494,6.217391304347826
919,645,395,1040,1.6329113924050631
920,1631,252,1883,6.472222222222222
921,2013,201,2214,10.014925373134329
922,1125,191,1316,5.890052356020942
923,1988,208,2196,9.557692307692308
924,1750,200,1950,8.75
925,1966,197,2163,9.97969543147208
926,1415,203,1618,6.970443349753695
927,1786,242,2028,7.380165289256198
928,1904,288,2192,6.611111111111111
929,1464,310,1774,4.72258064516129
930,1925,307,2232,6.270358306188925
931,1763,251,2014,7.02390438247012
932,1816,284,2100,6.394366197183099
933,1963,254,2217,7.728346456692913
934,1955,207,2162,9.444444444444445
935,1972,464,2436,4.25
936,1426,255,1681,5.592156862745098
937,1857,335,2192,5.543283582089552
938,2031,260,2291,7.811538461538461
939,2009,328,2337,6.125
940,1565,274,1839,5.711678832116788
941,1931,372,2303,5.190860215053763
942,1639,199,1838,8.236180904522612
943,617,289,906,2.134948096885813
944,1930,303,2233,6.36963696369637
945,1715,251,1966,6.832669322709164
946,897,231,1128,3.883116883116883
947,1958,299,2257,6.548494983277592
948,2039,245,2284,8.322448979591837
1568,1939,189,2128,10.25925925925926
1612,1921,187,2108,10.272727272727272
1636,2012,153,2165,13.15032679738562
1649,1985,200,2185,9.925
1661,2021,163,2184,12.39877300613497
1664,1958,153,2111,12.797385620915032
1686,1924,183,2107,10.513661202185792
1748,1930,188,2118,10.26595744680851
1952,1917,398,2315,4.816582914572864
1953,1937,706,2643,2.7436260623229463
1955,1929,188,2117,10.26063829787234
1956,1939,244,2183,7.94672131147541
1960,1953,368,2321,5.307065217391305
1963,1905,388,2293,4.90979381443299
1966,1922,366,2288,5.251366120218579
1967,2005,720,2725,2.7847222222222223
1969,2005,620,2625,3.2338709677419355
1971,1953,294,2247,6.642857142857143
1972,1901,536,2437,3.546641791044776
1974,2035,442,2477,4.604072398190045
1975,2025,239,2264,8.472803347280335
1976,1979,427,2406,4.634660421545667
1977,1997,186,2183,10.736559139784946
1978,2039,589,2628,3.461799660441426
1980,1916,172,2088,11.13953488372093
1982,2026,727,2753,2.7867950481430537
1983,1903,397,2300,4.793450881612091
1985,2007,503,2510,3.990059642147117
1986,1992,181,2173,11.005524861878452
1987,1979,207,2186,9.560386473429952
1990,1961,333,2294,5.888888888888889
1992,2031,203,2234,10.004926108374384
1995,2019,291,2310,6.938144329896907
1997,1928,719,2647,2.6815020862308763
1998,2014,346,2360,5.820809248554913
1999,1971,186,2157,10.596774193548388
2001,1997,180,2177,11.094444444444443
2003,2029,299,2328,6.785953177257525
2004,1986,1132,3118,1.754416961130742
2009,1939,379,2318,5.116094986807388
2010,1980,294,2274,6.73469387755102
2011,2044,592,2636,3.452702702702702
2015,2022,560,2582,3.6107142857142858
2016,2011,159,2170,12.647798742138365
2017,1981,310,2291,6.390322580645162
2019,1906,400,2306,4.765
2020,1929,334,2263,5.775449101796407
2021,2011,387,2398,5.196382428940568
2024,1907,540,2447,3.5314814814814817
2025,1930,671,2601,2.8763040238450075
2027,1963,895,2858,2.1932960893854747
2031,1998,951,2949,2.1009463722397475
2033,1988,405,2393,4.908641975308642
2035,1995,816,2811,2.4448529411764706
2037,2038,172,2210,11.848837209302326
2041,2031,187,2218,10.86096256684492
2044,1941,286,2227,6.786713286713287
2049,1935,1192,3127,1.623322147651007
2050,1988,331,2319,6.006042296072508
2051,1925,402,2327,4.788557213930348
2055,1964,273,2237,7.194139194139194
2056,2046,517,2563,3.9574468085106393
2057,1926,874,2800,2.203661327231121
2058,2033,272,2305,7.474264705882353
2060,1932,157,2089,12.305732484076431
2065,1988,274,2262,7.255474452554744
2072,1951,230,2181,8.482608695652173
2073,2012,220,2232,9.145454545454545
2080,1955,390,2345,5.012820512820513
2081,2019,689,2708,2.93033381712627
2082,1980,579,2559,3.4196891191709846
2084,1970,359,2329,5.487465181058496
2086,1900,795,2695,2.389937106918239
2087,1921,154,2075,12.474025974025974
2092,1921,164,2085,11.71341463414634
2094,1974,239,2213,8.259414225941423
2099,2031,424,2455,4.790094339622642
2100,2041,487,2528,4.190965092402464
2102,2014,796,2810,2.530150753768844
2105,2028,165,2193,12.290909090909093
2109,1920,511,2431,3.7573385518591
2110,2018,548,2566,3.6824817518248176
2111,1982,180,2162,11.011111111111113
2112,1944,182,2126,10.68131868131868
2114,1961,201,2162,9.756218905472636
2115,2011,741,2752,2.7139001349527665
2117,1908,935,2843,2.0406417112299464
2119,1902,332,2234,5.728915662650603
2126,1912,759,2671,2.519104084321476
2127,1963,517,2480,3.796905222437138
2128,2032,472,2504,4.305084745762712
2130,1966,268,2234,7.335820895522388
2132,1999,171,2170,11.690058479532164
2133,2007,365,2372,5.498630136986302
2137,1980,739,2719,2.679296346414073
2138,2036,321,2357,6.342679127725857
2142,2008,156,2164,12.871794871794872
2144,1943,246,2189,7.898373983739837
2146,1913,262,2175,7.301526717557252
2147,1959,420,2379,4.664285714285715
2149,1998,340,2338,5.876470588235295
2150,1907,661,2568,2.885022692889561
2151,1961,775,2736,2.530322580645161
2152,1920,273,2193,7.032967032967033
2153,1978,267,2245,7.408239700374532
2154,1925,276,2201,6.97463768115942
2155,1946,461,2407,4.221258134490238
2156,1932,542,2474,3.5645756457564577
2157,2012,390,2402,5.158974358974359
2158,1903,717,2620,2.6541143654114365
2159,1992,371,2363,5.369272237196766
2160,2034,621,2655,3.27536231884058
2161,2005,399,2404,5.025062656641604
2162,1931,223,2154,8.659192825112108
2163,2034,670,2704,3.035820895522388
2164,1963,327,2290,6.003058103975535
2165,2027,541,2568,3.746765249537893
2166,1972,309,2281,6.381877022653722
2167,1968,371,2339,5.304582210242588
2168,2003,640,2643,3.1296875
2169,2010,594,2604,3.383838383838384
2170,2020,339,2359,5.958702064896755
2171,1914,761,2675,2.515111695137976
2172,1942,469,2411,4.140724946695096
2173,2034,345,2379,5.895652173913043
2174,1991,694,2685,2.8688760806916425
2175,1951,771,2722,2.530479896238651
2176,1963,597,2560,3.288107202680067
2177,1938,701,2639,2.7646219686162623
2178,1956,355,2311,5.509859154929577
2179,1977,302,2279,6.546357615894039
2180,1937,746,2683,2.596514745308311
2181,1947,555,2502,3.508108108108108
2182,2041,564,2605,3.618794326241135
2183,1964,360,2324,5.455555555555556
2184,2039,678,2717,3.0073746312684366
2185,1906,581,2487,3.280550774526678
2186,1946,450,2396,4.3244444444444445
2187,1959,648,2607,3.0231481481481484
2188,2006,180,2186,11.144444444444444
2189,1940,641,2581,3.0265210608424336
2190,1962,601,2563,3.264559068219634
2191,2043,463,2506,4.412526997840173
2192,1932,735,2667,2.628571428571429
2193,2048,264,2312,7.757575757575758
2194,1943,688,2631,2.824127906976744
2195,1963,495,2458,3.9656565656565657
2196,2034,407,2441,4.997542997542998
2197,1976,614,2590,3.218241042345277
2198,1905,462,2367,4.123376623376624
2199,2017,796,2813,2.5339195979899496
2200,1951,647,2598,3.015455950540958
2201,1915,229,2144,8.362445414847162
2202,2005,618,2623,3.244336569579288
2203,1942,501,2443,3.87624750499002
2204,1997,594,2591,3.361952861952862
2205,2029,357,2386,5.683473389355743
2206,1999,247,2246,8.093117408906883
2207,1954,696,2650,2.807471264367816
2208,1998,275,2273,7.265454545454546
2209,2036,657,2693,3.0989345509893456
2210,2034,392,2426,5.188775510204081
2211,2026,599,2625,3.382303839732888
2212,1926,458,2384,4.205240174672489
2213,1932,647,2579,2.9860896445131377
2214,1922,632,2554,3.0411392405063293
2215,2036,662,2698,3.0755287009063443
2216,1902,290,2192,6.558620689655172
2217,1920,450,2370,4.266666666666667
2218,1902,301,2203,6.318936877076412
2219,1962,307,2269,6.390879478827362
2220,2001,602,2603,3.323920265780731
2221,2015,305,2320,6.60655737704918
2222,1970,571,2541,3.450087565674256
2223,2005,667,2672,3.0059970014992503
2224,1988,455,2443,4.369230769230769
2225,2001,249,2250,8.036144578313253
2226,1966,229,2195,8.585152838427948
2227,1919,366,2285,5.243169398907104
2228,1940,330,2270,5.878787878787879
2229,1962,399,2361,4.917293233082707
2230,1953,341,2294,5.727272727272728
2231,1911,460,2371,4.154347826086957
2232,1913,686,2599,2.7886297376093294
2233,2030,384,2414,5.286458333333333
2234,1917,687,2604,2.7903930131004366
2235,2014,753,2767,2.6746347941567064
2236,1963,664,2627,2.9563253012048194
2237,2015,769,2784,2.6202860858257475
2238,1934,625,2559,3.0944
2239,2030,596,2626,3.406040268456376
2240,1974,306,2280,6.450980392156863
2241,1903,590,2493,3.2254237288135594
2242,1937,588,2525,3.29421768707483
2243,1989,222,2211,8.95945945945946
2244,1991,309,2300,6.44336569579288
2245,1993,636,2629,3.1336477987421385
2246,1976,620,2596,3.1870967741935483
2247,2028,519,2547,3.907514450867052
2248,1964,504,2468,3.8968253968253967
2249,1934,588,2522,3.2891156462585034
2250,1905,669,2574,2.8475336322869955
2251,2022,382,2404,5.293193717277487
2252,1951,681,2632,2.8649045521292216
2253,2001,416,2417,4.810096153846154
2254,1986,692,2678,2.869942196531792
2255,2021,680,2701,2.972058823529412
2256,1977,543,2520,3.6408839779005526
2257,2012,470,2482,4.280851063829787
2258,1935,179,2114,10.810055865921788
2259,2021,465,2486,4.346236559139785
2260,1975,650,2625,3.0384615384615383
2261,1984,625,2609,3.1744
2262,1989,203,2192,9.798029556650246
2263,1997,655,2652,3.048854961832061
2264,2001,309,2310,6.475728155339806
2265,2048,607,2655,3.373970345963756
2266,2002,302,2304,6.629139072847682
2267,2028,525,2553,3.862857142857143
2268,1976,572,2548,3.4545454545454546
2269,2044,666,2710,3.069069069069069
2270,1960,609,2569,3.218390804597701
2271,1948,394,2342,4.944162436548224
2272,2010,694,2704,2.8962536023054755
2273,1955,621,2576,3.1481481481481484
2274,1967,439,2406,4.480637813211845
2275,2031,648,2679,3.134259259259259
2276,1942,560,2502,3.467857142857143
2277,2030,653,2683,3.108728943338438
2278,1935,276,2211,7.010869565217392
2279,2032,661,2693,3.074130105900151
2280,2036,707,2743,2.87977369165488
2281,2029,244,2273,8.315573770491802
2282,2021,735,2756,2.749659863945578
2283,1987,508,2495,3.911417322834646
2284,1966,694,2660,2.8328530259366
2285,2010,362,2372,5.552486187845304
2286,1977,357,2334,5.53781512605042
2287,2016,393,2409,5.129770992366412
2288,2034,454,2488,4.4801762114537445
2289,1913,173,2086,11.057803468208093
2290,1949,665,2614,2.930827067669173
2291,1965,550,2515,3.5727272727272728
2292,2017,547,2564,3.6873857404021937
2293,1917,544,2461,3.523897058823529
2294,1904,572,2476,3.3286713286713288
2295,1951,575,2526,3.3930434782608696
2296,1926,562,2488,3.427046263345196
2297,1965,592,2557,3.319256756756757
2298,1900,356,2256,5.337078651685394
2299,1955,737,2692,2.6526458616010853
2300,1947,704,2651,2.765625
2301,1944,637,2581,3.0518053375196232
2302,1992,421,2413,4.731591448931116
2303,1968,614,2582,3.205211726384365
2304,1902,635,2537,2.995275590551181
2305,1904,581,2485,3.27710843373494
2306,1905,680,2585,2.801470588235294
2307,1942,298,2240,6.516778523489933
2308,1979,616,2595,3.2126623376623376
2309,1960,622,2582,3.1511254019292605
2310,2000,629,2629,3.179650238473768
2311,2027,326,2353,6.217791411042945
2312,1992,538,2530,3.7026022304832713
2313,1990,584,2574,3.4075342465753424
2314,1922,680,2602,2.8264705882352943
2315,2010,726,2736,2.768595041322314
2316,1929,595,2524,3.242016806722689
2317,1906,237,2143,8.042194092827005
2318,1944,379,2323,5.129287598944591
2319,1903,525,2428,3.624761904761905
2320,2036,784,2820,2.596938775510204
2321,1969,344,2313,5.723837209302325
2322,1990,588,2578,3.3843537414965987
2323,1953,495,2448,3.945454545454545
2324,1998,300,2298,6.66
2325,1950,614,2564,3.175895765472313
2326,1981,277,2258,7.151624548736463
2327,1947,656,2603,2.9679878048780486
2328,1945,652,2597,2.983128834355828
2329,2027,643,2670,3.1524105754276825
2330,1938,687,2625,2.8209606986899565
2331,2029,292,2321,6.948630136986301
2332,2004,466,2470,4.3004291845493565
2333,1958,654,2612,2.99388379204893
2334,1900,376,2276,5.053191489361702
2335,1913,461,2374,4.149674620390456
2336,2011,267,2278,7.531835205992509
2337,1908,490,2398,3.893877551020408
2338,1934,485,2419,3.9876288659793815
2339,2028,661,2689,3.0680786686838126
2340,1921,357,2278,5.380952380952381
2341,2007,316,2323,6.35126582278481
2342,1979,575,2554,3.441739130434782
2343,1984,673,2657,2.947994056463596
2344,1948,361,2309,5.39612188365651
2345,1915,587,2502,3.262350936967632
2346,1986,539,2525,3.684601113172542
2347,1935,641,2576,3.018720748829953
2348,1980,564,2544,3.5106382978723403
2349,1970,536,2506,3.675373134328358
2386,2004,246,2250,8.146341463414634
4900,1958,699,2657,2.8011444921316166
4901,1933,662,2595,2.919939577039275
4903,2017,797,2814,2.530740276035132
4904,1916,383,2299,5.002610966057441
4905,1963,199,2162,9.864321608040202
4906,1958,880,2838,2.225
4907,1930,879,2809,2.1956769055745164
4908,1939,619,2558,3.132471728594507
4909,2011,533,2544,3.772983114446529
4910,2025,633,2658,3.199052132701422
4911,2007,618,2625,3.2475728155339807
4912,1965,510,2475,3.852941176470588
4913,1949,849,2798,2.2956419316843344
4915,1909,560,2469,3.4089285714285715
4916,2041,706,2747,2.8909348441926346
4917,1999,390,2389,5.125641025641026
4918,1939,661,2600,2.933434190620272
4919,2026,591,2617,3.428087986463621
4920,2046,377,2423,5.427055702917772
4921,1935,832,2767,2.3257211538461537
4922,1912,493,2405,3.8782961460446246
4923,1978,435,2413,4.5471264367816095
4924,1998,613,2611,3.259380097879282
4925,2022,195,2217,10.36923076923077
4926,2016,885,2901,2.2779661016949158
4927,2007,704,2711,2.850852272727273
4928,1985,749,2734,2.6502002670226967
4929,2036,717,2753,2.8396094839609485
4930,1959,328,2287,5.972560975609756
4931,1916,528,2444,3.628787878787879
4932,1976,259,2235,7.629343629343629
4933,2036,505,2541,4.031683168316832
4934,1729,263,1992,6.574144486692015
4935,1960,756,2716,2.592592592592593
4936,1987,520,2507,3.8211538461538463
4937,1977,762,2739,2.594488188976378
4938,1961,824,2785,2.379854368932039
4939,2030,386,2416,5.259067357512953
4940,2011,663,2674,3.033182503770739
4941,1969,878,2847,2.2425968109339407
4942,1974,866,2840,2.279445727482679
4943,1997,673,2670,2.967310549777117
4944,1982,646,2628,3.068111455108359
4945,1981,566,2547,3.5
4946,1953,191,2144,10.225130890052355
4947,1924,488,2412,3.942622950819672
4948,1977,459,2436,4.30718954248366
4949,1976,856,2832,2.308411214953271
4950,1949,568,2517,3.431338028169014
4952,1962,631,2593,3.109350237717908
4953,2004,743,2747,2.697173620457604
4954,2036,763,2799,2.668414154652687
4955,1941,602,2543,3.224252491694352
4956,1980,780,2760,2.5384615384615383
4957,1954,696,2650,2.807471264367816
4958,2007,716,2723,2.803072625698324
4959,2018,675,2693,2.9896296296296296
4960,1962,805,2767,2.437267080745342
4961,1970,569,2539,3.4622144112478037
4962,2033,691,2724,2.9421128798842258
4963,1993,602,2595,3.3106312292358804
4964,2000,507,2507,3.9447731755424074
4965,1916,282,2198,6.794326241134752
4966,2021,447,2468,4.5212527964205815
4967,2012,498,2510,4.040160642570281
4968,1924,824,2748,2.33495145631068
4969,1942,858,2800,2.2634032634032635
4970,1930,701,2631,2.75320970042796
4971,2034,711,2745,2.8607594936708862
4972,1968,801,2769,2.45692883895131
4973,1967,343,2310,5.73469387755102
4974,1902,278,2180,6.841726618705036
4975,1999,320,2319,6.246875
4976,2000,467,2467,4.282655246252677
4977,1950,299,2249,6.521739130434782
4978,1906,451,2357,4.226164079822617
4979,1941,449,2390,4.32293986636971
4981,2006,751,2757,2.6711051930758987
4982,2008,558,2566,3.598566308243728
4983,1985,840,2825,2.363095238095238
4985,1837,169,2006,10.8698224852071
4986,1910,892,2802,2.1412556053811658
4987,1968,776,2744,2.536082474226804
4988,2021,334,2355,6.050898203592815
4989,2046,712,2758,2.8735955056179776
4990,1903,732,2635,2.599726775956284
4991,1922,525,2447,3.6609523809523807
4992,1909,680,2589,2.8073529411764704
4993,1938,504,2442,3.8452380952380953
4994,2043,687,2730,2.9737991266375547
4995,1960,445,2405,4.404494382022472
4996,1942,771,2713,2.5188067444876783
4997,1985,667,2652,2.9760119940029983
4998,2008,700,2708,2.8685714285714288
4999,1935,828,2763,2.3369565217391304
5000,2029,608,2637,3.3371710526315788
5001,1974,824,2798,2.395631067961165
5002,2024,638,2662,3.1724137931034484
5003,1963,975,2938,2.013333333333333
5004,1919,626,2545,3.065495207667732
5005,1968,626,2594,3.143769968051118
5006,1937,784,2721,2.4706632653061225
5007,1949,645,2594,3.021705426356589
5008,1963,531,2494,3.696798493408663
5009,1934,789,2723,2.4512040557667936
5010,1903,682,2585,2.790322580645161
5011,1907,903,2810,2.1118493909191582
5012,2013,652,2665,3.0874233128834354
5013,1970,1483,3453,1.3283884018880647
5014,1977,668,2645,2.9595808383233533
5015,2034,894,2928,2.2751677852348995
5016,1905,626,2531,3.043130990415336
5017,1997,587,2584,3.402044293015332
5018,2019,900,2919,2.243333333333333
5019,1942,737,2679,2.635006784260516
5020,1909,634,2543,3.0110410094637223
5021,1942,732,2674,2.6530054644808745
5022,1902,885,2787,2.149152542372881
5023,2033,654,2687,3.1085626911314983
5024,2002,835,2837,2.397604790419161
5025,1990,764,2754,2.6047120418848166
5026,1923,902,2825,2.131929046563193
5027,1980,860,2840,2.302325581395349
5028,1906,735,2641,2.5931972789115645
5029,2018,473,2491,4.266384778012685
5030,2030,849,2879,2.391048292108363
5031,1959,595,2554,3.292436974789916
5032,1966,738,2704,2.663956639566396
5033,1996,696,2692,2.867816091954023
5034,1915,889,2804,2.154105736782902
5035,2010,752,2762,2.672872340425532
5036,2015,603,2618,3.341625207296849
5037,2025,771,2796,2.626459143968872
5038,1942,869,2811,2.234752589182969
5039,1955,852,2807,2.294600938967136
5040,1928,723,2651,2.6666666666666665
5041,2038,875,2913,2.329142857142857
5042,2032,556,2588,3.6546762589928057
5043,1924,568,2492,3.387323943661972
5044,2034,855,2889,2.3789473684210525
5045,1955,729,2684,2.681755829903978
5046,2043,764,2807,2.674083769633508
5047,2002,757,2759,2.6446499339498017
5048,1982,814,2796,2.4348894348894348
5049,1970,897,2867,2.196209587513936
5050,1959,653,2612,3.0
5051,1915,686,2601,2.791545189504373
5052,1981,898,2879,2.206013363028953
5053,1971,853,2824,2.310668229777257
5054,1922,478,2400,4.02092050209205
5055,1947,836,2783,2.3289473684210527
5056,1927,606,2533,3.17986798679868
5057,2017,892,2909,2.2612107623318387
5058,1905,844,2749,2.2571090047393363
5059,2022,689,2711,2.934687953555878
5060,1990,938,2928,2.121535181236674
5061,1964,682,2646,2.8797653958944283
5062,2011,633,2644,3.1769352290679307
5063,1944,649,2593,2.99537750385208
5064,1909,829,2738,2.302774427020507
5065,2034,683,2717,2.9780380673499267
5066,1945,639,2584,3.043818466353678
5067,1941,723,2664,2.684647302904564
5068,2010,627,2637,3.2057416267942584
5069,1950,754,2704,2.586206896551724
5070,1976,883,2859,2.2378255945639864
5071,2036,812,2848,2.5073891625615765
5072,2048,825,2873,2.4824242424242424
5073,1913,648,2561,2.9521604938271606
5074,1913,486,2399,3.9362139917695473
5075,1958,727,2685,2.693259972489684
5076,1906,738,2644,2.5826558265582658
5077,2046,929,2975,2.2023681377825617
5079,1965,838,2803,2.344868735083532
5080,2016,744,2760,2.7096774193548385
5081,1972,903,2875,2.183831672203765
5082,1971,721,2692,2.7337031900138697
5083,2034,822,2856,2.4744525547445257
5084,1984,868,2852,2.2857142857142856
5085,1995,971,2966,2.054582904222451
5086,1933,784,2717,2.465561224489796
5087,1917,692,2609,2.770231213872832
5088,2012,782,2794,2.572890025575448
5089,2037,603,2640,3.3781094527363185
5090,1929,756,2685,2.5515873015873014
5091,1924,738,2662,2.607046070460705
5092,1939,803,2742,2.414694894146949
5093,1942,393,2335,4.9414758269720105
5094,1986,542,2528,3.664206642066421
5095,2006,776,2782,2.5850515463917527
5096,1955,644,2599,3.0357142857142856
5097,2037,789,2826,2.581749049429658
5098,1964,589,2553,3.33446519524618
5099,1990,647,2637,3.075734157650696
5100,1990,878,2868,2.266514806378132
5101,1965,864,2829,2.274305555555556
5102,2029,718,2747,2.8259052924791086
5103,1902,387,2289,4.914728682170543
5104,2033,775,2808,2.6232258064516127
5105,1916,760,2676,2.5210526315789474
5106,2007,594,2601,3.378787878787879
5107,1928,626,2554,3.0798722044728435
5108,2047,780,2827,2.6243589743589744
5109,2007,835,2842,2.4035928143712573
5110,2017,724,2741,2.7859116022099446
5111,1918,738,2656,2.598915989159892
5112,1925,687,2612,2.802037845705968
5113,2016,895,2911,2.2525139664804468
5114,1937,734,2671,2.638964577656676
5115,1997,550,2547,3.630909090909091
5116,1947,669,2616,2.910313901345292
5117,2004,655,2659,3.0595419847328245
5118,2043,775,2818,2.6361290322580646
5119,1908,577,2485,3.3067590987868285
5120,1988,1699,3687,1.1701000588581518
5121,2008,702,2710,2.8603988603988606
5122,1971,871,2842,2.2629161882893225
5123,1972,865,2837,2.279768786127168
5124,1936,855,2791,2.2643274853801167
5125,1921,686,2607,2.8002915451895043
5126,2045,540,2585,3.787037037037037
5127,2013,637,2650,3.160125588697017
5128,2039,737,2776,2.766621438263229
5129,1980,946,2926,2.0930232558139537
5130,1948,547,2495,3.5612431444241315
5131,2043,687,2730,2.9737991266375547
5132,1911,822,2733,2.3248175182481754
5133,1956,715,2671,2.735664335664336
5134,2013,1132,3145,1.778268551236749
5135,2029,869,2898,2.334867663981588
5136,2004,924,2928,2.168831168831169
5137,1934,833,2767,2.3217286914765904
5138,2041,408,2449,5.002450980392157
5139,2038,800,2838,2.5475
5140,1908,740,2648,2.5783783783783782
5141,1950,720,2670,2.708333333333333
5142,1972,311,2283,6.340836012861736
5143,2042,722,2764,2.828254847645429
5144,1952,632,2584,3.088607594936709
5145,1967,569,2536,3.4569420035149383
5146,1914,730,2644,2.621917808219178
5147,2031,688,2719,2.95203488372093
5148,1993,702,2695,2.839031339031339
5149,1972,730,2702,2.7013698630136984
5150,1998,674,2672,2.964391691394659
5151,1933,926,2859,2.087473002159827
5152,1909,802,2711,2.380299251870324
5153,1949,721,2670,2.7031900138696257
