num_prefill_tokens,num_decode_tokens,num_total_tokens,pd_ratio
849,409,1258,2.075794621026895
69,510,579,0.13529411764705881
1513,33,1546,45.84848484848485
451,90,541,5.011111111111111
960,580,1540,1.6551724137931034
411,21,432,19.571428571428573
298,393,691,0.7582697201017812
300,227,527,1.3215859030837005
866,19,885,45.578947368421055
780,662,1442,1.1782477341389728
1787,10,1797,178.7
1251,477,1728,2.6226415094339623
481,26,507,18.5
728,12,740,60.666666666666664
433,10,443,43.3
785,328,1113,2.393292682926829
478,59,537,8.101694915254237
874,82,956,10.658536585365853
1064,799,1863,1.3316645807259073
1666,9,1675,185.11111111111111
441,110,551,4.009090909090909
1243,155,1398,8.019354838709678
1963,37,2000,53.054054054054056
599,34,633,17.61764705882353
762,2,764,381.0
1598,349,1947,4.578796561604585
54,399,453,0.13533834586466165
602,3,605,200.66666666666666
350,7,357,50.0
224,232,456,0.9655172413793104
280,253,533,1.1067193675889329
569,25,594,22.76
302,154,456,1.9610389610389611
263,10,273,26.3
512,215,727,2.3813953488372093
1963,34,1997,57.73529411764706
60,95,155,0.631578947368421
1512,2,1514,756.0
565,51,616,11.07843137254902
1087,271,1358,4.011070110701107
1689,31,1720,54.483870967741936
583,2,585,291.5
1127,40,1167,28.175
592,41,633,14.439024390243903
869,677,1546,1.2836041358936485
1078,2,1080,539.0
860,838,1698,1.026252983293556
486,7,493,69.42857142857143
96,791,887,0.1213653603034134
1467,3,1470,489.0
871,7,878,124.42857142857143
462,819,1281,0.5641025641025641
869,756,1625,1.1494708994708995
6,405,411,0.014814814814814815
1140,635,1775,1.795275590551181
1061,160,1221,6.63125
1183,146,1329,8.102739726027398
32,287,319,0.11149825783972125
127,50,177,2.54
1860,14,1874,132.85714285714286
1890,40,1930,47.25
1582,247,1829,6.4048582995951415
316,23,339,13.73913043478261
1189,457,1646,2.6017505470459517
365,57,422,6.4035087719298245
1374,15,1389,91.6
812,3,815,270.6666666666667
539,287,826,1.8780487804878048
1051,331,1382,3.175226586102719
611,124,735,4.92741935483871
524,447,971,1.1722595078299776
360,13,373,27.692307692307693
308,344,652,0.8953488372093024
351,22,373,15.954545454545455
1192,14,1206,85.14285714285714
833,12,845,69.41666666666667
1132,51,1183,22.19607843137255
823,775,1598,1.0619354838709678
423,16,439,26.4375
32,1253,1285,0.025538707102952914
274,227,501,1.2070484581497798
801,136,937,5.889705882352941
733,9,742,81.44444444444444
817,106,923,7.7075471698113205
363,527,890,0.6888045540796964
492,92,584,5.3478260869565215
283,11,294,25.727272727272727
186,3,189,62.0
373,232,605,1.6077586206896552
373,3,376,124.33333333333333
227,44,271,5.159090909090909
310,76,386,4.078947368421052
357,287,644,1.2439024390243902
825,688,1513,1.1991279069767442
466,151,617,3.0860927152317883
1210,476,1686,2.542016806722689
1065,19,1084,56.05263157894737
1251,2,1253,625.5
2012,14,2026,143.71428571428572
865,2,867,432.5
1240,332,1572,3.7349397590361444
96,426,522,0.22535211267605634
1012,40,1052,25.3
737,21,758,35.095238095238095
398,5,403,79.6
1101,438,1539,2.5136986301369864
403,11,414,36.63636363636363
184,138,322,1.3333333333333333
324,417,741,0.7769784172661871
1650,277,1927,5.956678700361011
1019,13,1032,78.38461538461539
1173,15,1188,78.2
810,188,998,4.308510638297872
105,41,146,2.5609756097560976
921,3,924,307.0
1017,6,1023,169.5
912,12,924,76.0
944,18,962,52.44444444444444
448,414,862,1.0821256038647342
363,339,702,1.0707964601769913
1438,13,1451,110.61538461538461
1463,243,1706,6.020576131687243
1474,9,1483,163.77777777777777
1125,12,1137,93.75
1315,18,1333,73.05555555555556
798,606,1404,1.316831683168317
910,355,1265,2.563380281690141
443,13,456,34.07692307692308
1240,6,1246,206.66666666666666
1021,222,1243,4.599099099099099
287,17,304,16.88235294117647
502,22,524,22.818181818181817
138,31,169,4.451612903225806
1061,5,1066,212.2
334,16,350,20.875
497,46,543,10.804347826086957
36,116,152,0.3103448275862069
96,177,273,0.5423728813559322
1353,28,1381,48.32142857142857
922,203,1125,4.541871921182266
621,31,652,20.032258064516128
522,5,527,104.4
747,21,768,35.57142857142857
423,284,707,1.4894366197183098
194,7,201,27.714285714285715
416,935,1351,0.4449197860962567
252,2,254,126.0
12,185,197,0.06486486486486487
649,403,1052,1.6104218362282878
760,1198,1958,0.6343906510851419
489,341,830,1.434017595307918
815,2,817,407.5
408,706,1114,0.5779036827195467
606,820,1426,0.7390243902439024
524,240,764,2.183333333333333
876,2,878,438.0
677,2,679,338.5
11,293,304,0.03754266211604096
8,334,342,0.023952095808383235
406,13,419,31.23076923076923
2,10,12,0.2
821,262,1083,3.133587786259542
366,18,384,20.333333333333332
381,49,430,7.775510204081633
649,378,1027,1.716931216931217
1298,68,1366,19.08823529411765
1159,378,1537,3.066137566137566
1026,55,1081,18.654545454545456
593,235,828,2.523404255319149
341,331,672,1.0302114803625377
1278,335,1613,3.8149253731343284
797,304,1101,2.6217105263157894
976,222,1198,4.396396396396397
191,101,292,1.891089108910891
514,8,522,64.25
116,2,118,58.0
324,27,351,12.0
725,222,947,3.265765765765766
711,23,734,30.91304347826087
1603,10,1613,160.3
814,2,816,407.0
1835,8,1843,229.375
169,1428,1597,0.11834733893557423
178,145,323,1.2275862068965517
1704,305,2009,5.586885245901639
305,12,317,25.416666666666668
1890,137,2027,13.795620437956204
1271,31,1302,41.0
629,5,634,125.8
1539,380,1919,4.05
746,199,945,3.748743718592965
1475,8,1483,184.375
1224,93,1317,13.161290322580646
350,169,519,2.0710059171597632
1113,8,1121,139.125
1217,337,1554,3.6112759643916914
363,44,407,8.25
1703,187,1890,9.106951871657754
10,310,320,0.03225806451612903
11,447,458,0.024608501118568233
1344,433,1777,3.1039260969976907
772,22,794,35.09090909090909
413,13,426,31.76923076923077
1033,149,1182,6.932885906040268
1126,62,1188,18.161290322580644
546,126,672,4.333333333333333
382,5,387,76.4
1320,80,1400,16.5
390,254,644,1.5354330708661417
1287,23,1310,55.95652173913044
1388,4,1392,347.0
1034,139,1173,7.438848920863309
1815,6,1821,302.5
1357,32,1389,42.40625
1305,214,1519,6.098130841121495
1532,369,1901,4.151761517615176
430,43,473,10.0
756,398,1154,1.899497487437186
714,5,719,142.8
997,123,1120,8.105691056910569
375,402,777,0.9328358208955224
1296,13,1309,99.6923076923077
1408,7,1415,201.14285714285714
10,74,84,0.13513513513513514
601,285,886,2.1087719298245613
5,136,141,0.03676470588235294
221,8,229,27.625
1699,36,1735,47.19444444444444
234,3,237,78.0
609,4,613,152.25
1093,331,1424,3.302114803625378
330,314,644,1.0509554140127388
1133,86,1219,13.174418604651162
21,444,465,0.0472972972972973
534,5,539,106.8
480,7,487,68.57142857142857
455,510,965,0.8921568627450981
649,500,1149,1.298
25,227,252,0.11013215859030837
7,69,76,0.10144927536231885
803,180,983,4.461111111111111
22,313,335,0.07028753993610223
545,352,897,1.5482954545454546
274,11,285,24.90909090909091
827,715,1542,1.1566433566433567
796,19,815,41.89473684210526
1964,14,1978,140.28571428571428
1318,351,1669,3.754985754985755
720,20,740,36.0
992,472,1464,2.1016949152542375
515,124,639,4.153225806451613
1172,58,1230,20.20689655172414
241,58,299,4.155172413793103
371,220,591,1.6863636363636363
345,9,354,38.333333333333336
317,17,334,18.647058823529413
1402,117,1519,11.982905982905983
1114,51,1165,21.84313725490196
869,322,1191,2.698757763975155
1543,93,1636,16.591397849462364
1379,61,1440,22.60655737704918
1046,622,1668,1.6816720257234727
1196,239,1435,5.00418410041841
1165,8,1173,145.625
812,310,1122,2.6193548387096772
266,24,290,11.083333333333334
405,18,423,22.5
617,63,680,9.793650793650794
1322,65,1387,20.338461538461537
1355,11,1366,123.18181818181819
1341,372,1713,3.6048387096774195
384,465,849,0.8258064516129032
1880,50,1930,37.6
1096,39,1135,28.102564102564102
1205,59,1264,20.423728813559322
1319,74,1393,17.824324324324323
1798,69,1867,26.057971014492754
1764,58,1822,30.413793103448278
251,82,333,3.0609756097560976
727,68,795,10.691176470588236
786,50,836,15.72
832,427,1259,1.9484777517564402
1104,50,1154,22.08
1274,211,1485,6.037914691943128
495,69,564,7.173913043478261
317,70,387,4.5285714285714285
1070,389,1459,2.7506426735218508
1379,292,1671,4.722602739726027
769,54,823,14.24074074074074
1462,325,1787,4.498461538461538
452,417,869,1.0839328537170263
765,54,819,14.166666666666666
1344,268,1612,5.014925373134329
1641,76,1717,21.592105263157894
445,93,538,4.78494623655914
1680,65,1745,25.846153846153847
1508,26,1534,58.0
625,64,689,9.765625
394,224,618,1.7589285714285714
515,768,1283,0.6705729166666666
413,79,492,5.227848101265823
346,81,427,4.271604938271605
655,96,751,6.822916666666667
1126,50,1176,22.52
534,120,654,4.45
1152,501,1653,2.2994011976047903
621,114,735,5.447368421052632
1581,70,1651,22.585714285714285
1373,414,1787,3.316425120772947
422,300,722,1.4066666666666667
77,462,539,0.16666666666666666
1586,94,1680,16.872340425531913
1356,118,1474,11.491525423728813
1638,73,1711,22.438356164383563
1352,500,1852,2.704
913,370,1283,2.4675675675675675
184,17,201,10.823529411764707
1665,11,1676,151.36363636363637
816,13,829,62.76923076923077
1045,325,1370,3.2153846153846155
368,18,386,20.444444444444443
906,8,914,113.25
101,266,367,0.37969924812030076
299,15,314,19.933333333333334
237,21,258,11.285714285714286
877,867,1744,1.011534025374856
1636,364,2000,4.4945054945054945
1248,752,2000,1.6595744680851063
508,649,1157,0.7827426810477658
546,406,952,1.3448275862068966
573,132,705,4.340909090909091
1267,448,1715,2.828125
1098,545,1643,2.014678899082569
1827,108,1935,16.916666666666668
1222,680,1902,1.7970588235294118
952,1006,1958,0.9463220675944334
321,98,419,3.2755102040816326
1925,91,2016,21.153846153846153
1266,90,1356,14.066666666666666
670,36,706,18.61111111111111
1276,700,1976,1.822857142857143
717,313,1030,2.29073482428115
1768,125,1893,14.144
429,186,615,2.306451612903226
10,133,143,0.07518796992481203
640,12,652,53.333333333333336
1356,12,1368,113.0
102,129,231,0.7906976744186046
760,97,857,7.835051546391752
1594,9,1603,177.11111111111111
1596,22,1618,72.54545454545455
705,22,727,32.04545454545455
508,32,540,15.875
1626,9,1635,180.66666666666666
422,11,433,38.36363636363637
832,15,847,55.46666666666667
10,311,321,0.03215434083601286
439,29,468,15.137931034482758
1504,20,1524,75.2
581,503,1084,1.1550695825049702
394,285,679,1.3824561403508773
875,420,1295,2.0833333333333335
592,106,698,5.584905660377358
121,25,146,4.84
388,86,474,4.511627906976744
25,186,211,0.13440860215053763
696,19,715,36.63157894736842
594,839,1433,0.7079856972586412
152,92,244,1.6521739130434783
525,91,616,5.769230769230769
783,19,802,41.21052631578947
474,585,1059,0.8102564102564103
318,238,556,1.3361344537815125
238,12,250,19.833333333333332
16,22,38,0.7272727272727273
728,394,1122,1.8477157360406091
1577,15,1592,105.13333333333334
1516,42,1558,36.095238095238095
297,354,651,0.8389830508474576
287,35,322,8.2
224,191,415,1.1727748691099475
1314,7,1321,187.71428571428572
1251,2,1253,625.5
20,33,53,0.6060606060606061
1757,56,1813,31.375
484,1183,1667,0.4091293322062553
1061,320,1381,3.315625
7,414,421,0.016908212560386472
958,2,960,479.0
802,18,820,44.55555555555556
715,20,735,35.75
319,301,620,1.0598006644518272
26,32,58,0.8125
1072,84,1156,12.761904761904763
1872,19,1891,98.52631578947368
821,28,849,29.321428571428573
343,34,377,10.088235294117647
1159,355,1514,3.2647887323943663
735,521,1256,1.4107485604606527
578,87,665,6.64367816091954
179,232,411,0.771551724137931
699,233,932,3.0
633,15,648,42.2
687,32,719,21.46875
1616,22,1638,73.45454545454545
1287,18,1305,71.5
696,235,931,2.9617021276595743
217,958,1175,0.2265135699373695
604,1131,1735,0.5340406719717065
1838,22,1860,83.54545454545455
866,920,1786,0.941304347826087
887,798,1685,1.1115288220551378
916,892,1808,1.0269058295964126
1772,27,1799,65.62962962962963
1531,27,1558,56.7037037037037
780,21,801,37.142857142857146
485,791,1276,0.6131479140328698
1046,373,1419,2.804289544235925
916,876,1792,1.0456621004566211
1619,29,1648,55.827586206896555
1300,687,1987,1.8922852983988354
1251,5,1256,250.2
1067,576,1643,1.8524305555555556
1268,3,1271,422.6666666666667
1088,633,1721,1.7187993680884677
386,9,395,42.888888888888886
1326,2,1328,663.0
533,26,559,20.5
308,176,484,1.75
561,6,567,93.5
187,221,408,0.8461538461538461
137,268,405,0.5111940298507462
90,6,96,15.0
25,377,402,0.06631299734748011
1081,21,1102,51.476190476190474
1622,38,1660,42.68421052631579
363,7,370,51.857142857142854
9,286,295,0.03146853146853147
29,16,45,1.8125
314,30,344,10.466666666666667
443,48,491,9.229166666666666
72,20,92,3.6
269,222,491,1.2117117117117118
21,386,407,0.054404145077720206
1371,13,1384,105.46153846153847
48,1590,1638,0.03018867924528302
623,1104,1727,0.5643115942028986
1440,509,1949,2.8290766208251474
1160,506,1666,2.292490118577075
639,54,693,11.833333333333334
784,318,1102,2.4654088050314464
902,367,1269,2.457765667574932
12,386,398,0.031088082901554404
420,23,443,18.26086956521739
153,38,191,4.026315789473684
164,83,247,1.9759036144578312
1183,528,1711,2.240530303030303
367,11,378,33.36363636363637
100,700,800,0.14285714285714285
746,17,763,43.88235294117647
718,61,779,11.770491803278688
105,709,814,0.14809590973201692
185,24,209,7.708333333333333
303,9,312,33.666666666666664
695,443,1138,1.5688487584650113
22,31,53,0.7096774193548387
376,755,1131,0.49801324503311256
927,120,1047,7.725
751,10,761,75.1
772,735,1507,1.0503401360544218
1319,79,1398,16.696202531645568
469,14,483,33.5
995,162,1157,6.1419753086419755
282,23,305,12.26086956521739
1459,533,1992,2.7373358348968106
593,101,694,5.871287128712871
953,10,963,95.3
1301,73,1374,17.82191780821918
16,578,594,0.02768166089965398
1161,6,1167,193.5
330,25,355,13.2
1102,478,1580,2.305439330543933
860,457,1317,1.8818380743982495
1268,24,1292,52.833333333333336
318,27,345,11.777777777777779
355,90,445,3.9444444444444446
1138,17,1155,66.94117647058823
237,232,469,1.021551724137931
244,2,246,122.0
241,2,243,120.5
1205,20,1225,60.25
701,23,724,30.47826086956522
1060,11,1071,96.36363636363636
595,44,639,13.522727272727273
1472,57,1529,25.82456140350877
399,813,1212,0.4907749077490775
245,19,264,12.894736842105264
498,284,782,1.7535211267605635
969,13,982,74.53846153846153
176,1756,1932,0.10022779043280182
155,691,846,0.22431259044862517
1739,30,1769,57.96666666666667
1547,26,1573,59.5
403,9,412,44.77777777777778
790,24,814,32.916666666666664
88,523,611,0.1682600382409178
429,398,827,1.0778894472361809
171,421,592,0.40617577197149646
936,27,963,34.666666666666664
1181,625,1806,1.8896
1478,139,1617,10.633093525179856
1600,222,1822,7.207207207207207
835,1077,1912,0.7753017641597029
1166,76,1242,15.342105263157896
613,560,1173,1.0946428571428573
691,410,1101,1.6853658536585365
560,18,578,31.11111111111111
901,515,1416,1.749514563106796
1417,13,1430,109.0
1962,76,2038,25.81578947368421
154,10,164,15.4
1080,38,1118,28.42105263157895
735,24,759,30.625
628,69,697,9.101449275362318
535,3,538,178.33333333333334
1867,17,1884,109.82352941176471
744,472,1216,1.576271186440678
1055,317,1372,3.32807570977918
15,145,160,0.10344827586206896
1000,460,1460,2.1739130434782608
519,119,638,4.361344537815126
864,24,888,36.0
128,302,430,0.423841059602649
486,14,500,34.714285714285715
211,148,359,1.4256756756756757
88,811,899,0.10850801479654747
37,1455,1492,0.02542955326460481
1518,2,1520,759.0
427,179,606,2.3854748603351954
1617,331,1948,4.885196374622357
985,102,1087,9.656862745098039
743,16,759,46.4375
289,104,393,2.7788461538461537
9,388,397,0.023195876288659795
822,365,1187,2.252054794520548
602,327,929,1.8409785932721712
308,407,715,0.7567567567567568
714,4,718,178.5
564,455,1019,1.2395604395604396
268,14,282,19.142857142857142
410,13,423,31.53846153846154
703,7,710,100.42857142857143
1096,86,1182,12.744186046511627
636,31,667,20.516129032258064
620,34,654,18.235294117647058
709,27,736,26.25925925925926
17,123,140,0.13821138211382114
411,189,600,2.1746031746031744
1593,16,1609,99.5625
398,448,846,0.8883928571428571
28,52,80,0.5384615384615384
80,572,652,0.13986013986013987
835,156,991,5.352564102564102
621,297,918,2.090909090909091
602,149,751,4.040268456375839
716,29,745,24.689655172413794
986,347,1333,2.84149855907781
16,33,49,0.48484848484848486
519,34,553,15.264705882352942
16,300,316,0.05333333333333334
972,86,1058,11.30232558139535
595,12,607,49.583333333333336
388,6,394,64.66666666666667
323,12,335,26.916666666666668
343,7,350,49.0
1467,36,1503,40.75
1644,36,1680,45.666666666666664
1416,314,1730,4.509554140127388
327,466,793,0.7017167381974249
766,122,888,6.278688524590164
650,139,789,4.676258992805756
59,34,93,1.7352941176470589
624,266,890,2.345864661654135
1149,383,1532,3.0
394,539,933,0.7309833024118738
217,32,249,6.78125
218,10,228,21.8
540,324,864,1.6666666666666667
170,10,180,17.0
827,715,1542,1.1566433566433567
1089,175,1264,6.222857142857142
1304,14,1318,93.14285714285714
740,179,919,4.134078212290503
389,110,499,3.536363636363636
1444,542,1986,2.6642066420664205
707,99,806,7.141414141414141
853,377,1230,2.2625994694960214
1215,448,1663,2.7120535714285716
342,329,671,1.0395136778115501
917,436,1353,2.103211009174312
6,235,241,0.02553191489361702
231,27,258,8.555555555555555
4,40,44,0.1
57,82,139,0.6951219512195121
1932,12,1944,161.0
1974,35,2009,56.4
75,12,87,6.25
30,63,93,0.47619047619047616
826,765,1591,1.0797385620915032
326,324,650,1.0061728395061729
1075,67,1142,16.044776119402986
772,222,994,3.4774774774774775
1247,317,1564,3.9337539432176656
597,871,1468,0.6854190585533869
470,336,806,1.3988095238095237
33,534,567,0.06179775280898876
832,123,955,6.764227642276423
1325,55,1380,24.09090909090909
257,6,263,42.833333333333336
1494,542,2036,2.756457564575646
139,91,230,1.5274725274725274
1144,8,1152,143.0
378,314,692,1.2038216560509554
1995,49,2044,40.714285714285715
1807,20,1827,90.35
8,595,603,0.013445378151260505
533,10,543,53.3
547,39,586,14.025641025641026
646,489,1135,1.3210633946830266
1075,37,1112,29.054054054054053
1062,19,1081,55.89473684210526
1761,25,1786,70.44
778,6,784,129.66666666666666
783,23,806,34.04347826086956
818,584,1402,1.4006849315068493
1516,33,1549,45.93939393939394
1183,221,1404,5.352941176470588
534,225,759,2.3733333333333335
330,256,586,1.2890625
1986,15,2001,132.4
1762,15,1777,117.46666666666667
168,1388,1556,0.12103746397694524
1401,644,2045,2.1754658385093166
479,12,491,39.916666666666664
590,133,723,4.43609022556391
750,173,923,4.335260115606936
695,6,701,115.83333333333333
1472,4,1476,368.0
601,88,689,6.829545454545454
208,178,386,1.1685393258426966
422,281,703,1.501779359430605
1562,11,1573,142.0
1431,226,1657,6.331858407079646
993,288,1281,3.4479166666666665
650,632,1282,1.0284810126582278
1465,14,1479,104.64285714285714
412,135,547,3.051851851851852
18,338,356,0.05325443786982249
1912,48,1960,39.833333333333336
583,35,618,16.65714285714286
1574,12,1586,131.16666666666666
773,182,955,4.247252747252747
2008,7,2015,286.85714285714283
726,337,1063,2.1543026706231454
925,18,943,51.388888888888886
97,2,99,48.5
632,89,721,7.101123595505618
259,5,264,51.8
579,13,592,44.53846153846154
585,10,595,58.5
883,126,1009,7.007936507936508
463,6,469,77.16666666666667
1331,237,1568,5.616033755274262
72,26,98,2.769230769230769
109,123,232,0.8861788617886179
1004,44,1048,22.818181818181817
531,442,973,1.2013574660633484
1004,295,1299,3.4033898305084747
1305,402,1707,3.246268656716418
693,468,1161,1.4807692307692308
415,19,434,21.842105263157894
323,269,592,1.2007434944237918
376,11,387,34.18181818181818
1654,91,1745,18.175824175824175
468,34,502,13.764705882352942
754,9,763,83.77777777777777
1161,9,1170,129.0
370,12,382,30.833333333333332
1370,23,1393,59.56521739130435
1731,84,1815,20.607142857142858
530,54,584,9.814814814814815
1678,181,1859,9.2707182320442
195,11,206,17.727272727272727
391,72,463,5.430555555555555
406,483,889,0.8405797101449275
598,18,616,33.22222222222222
1825,15,1840,121.66666666666667
1051,993,2044,1.0584088620342398
532,43,575,12.372093023255815
1122,662,1784,1.6948640483383686
1164,19,1183,61.26315789473684
373,297,670,1.2558922558922558
549,696,1245,0.7887931034482759
82,28,110,2.9285714285714284
14,279,293,0.05017921146953405
165,4,169,41.25
216,10,226,21.6
127,94,221,1.351063829787234
929,1038,1967,0.894990366088632
1052,571,1623,1.842381786339755
1537,46,1583,33.41304347826087
296,20,316,14.8
589,98,687,6.010204081632653
1295,686,1981,1.8877551020408163
739,49,788,15.081632653061224
702,745,1447,0.9422818791946309
1886,54,1940,34.925925925925924
504,409,913,1.2322738386308068
935,406,1341,2.3029556650246303
1599,14,1613,114.21428571428571
1728,12,1740,144.0
629,8,637,78.625
136,15,151,9.066666666666666
190,8,198,23.75
55,168,223,0.3273809523809524
479,17,496,28.176470588235293
939,518,1457,1.8127413127413128
924,470,1394,1.9659574468085106
616,401,1017,1.5361596009975063
279,10,289,27.9
94,13,107,7.230769230769231
518,467,985,1.1092077087794432
898,18,916,49.888888888888886
1213,15,1228,80.86666666666666
42,396,438,0.10606060606060606
208,73,281,2.8493150684931505
366,215,581,1.7023255813953488
228,34,262,6.705882352941177
594,155,749,3.832258064516129
1502,61,1563,24.62295081967213
1110,211,1321,5.260663507109005
379,88,467,4.306818181818182
7,28,35,0.25
1425,262,1687,5.438931297709924
470,21,491,22.38095238095238
11,393,404,0.027989821882951654
242,412,654,0.587378640776699
1192,17,1209,70.11764705882354
867,847,1714,1.0236127508854782
459,32,491,14.34375
215,55,270,3.909090909090909
808,260,1068,3.1076923076923078
224,252,476,0.8888888888888888
1640,183,1823,8.96174863387978
780,10,790,78.0
892,351,1243,2.5413105413105415
80,290,370,0.27586206896551724
25,17,42,1.4705882352941178
1897,132,2029,14.371212121212121
1190,16,1206,74.375
526,311,837,1.6913183279742765
1843,27,1870,68.25925925925925
1394,11,1405,126.72727272727273
717,32,749,22.40625
24,17,41,1.411764705882353
8,56,64,0.14285714285714285
261,558,819,0.46774193548387094
1897,34,1931,55.794117647058826
780,23,803,33.91304347826087
356,8,364,44.5
8,224,232,0.03571428571428571
129,282,411,0.4574468085106383
7,286,293,0.024475524475524476
1608,10,1618,160.8
218,94,312,2.3191489361702127
579,329,908,1.7598784194528876
1653,22,1675,75.13636363636364
1291,376,1667,3.4335106382978724
1009,260,1269,3.8807692307692307
445,10,455,44.5
664,124,788,5.354838709677419
6,333,339,0.018018018018018018
